game_pk,date,start_time_utc,venue,game_type,away_team,home_team,away_team_id,home_team_id,away_probable,home_probable,away_probable_id,home_probable_id,away_score,home_score,winner,home_won,total_runs,run_differential,double_header,game_number
718677,2023-04-07,2023-04-07T20:10:00Z,Progressive Field,R,SEA,CLE,136,114,Logan Gilbert,Aaron Civale,669302,650644,5,3,SEA,0,8,2,N,1
718678,2023-04-07,2023-04-07T22:40:00Z,Tropicana Field,R,OAK,TB,133,139,Ken Waldichuk,Zach Eflin,686610,621107,5,9,TB,1,14,4,N,1
718679,2023-04-07,2023-04-07T20:12:00Z,PNC Park,R,CWS,PIT,145,134,Lucas Giolito,Rich Hill,608337,448179,9,13,PIT,1,22,4,N,1
718680,2023-04-07,2023-04-07T20:35:00Z,Oracle Park,R,KC,SF,118,137,Brad Keller,Alex Cobb,641745,502171,3,1,KC,0,4,2,N,1
718684,2023-04-07,2023-04-07T20:10:00Z,Target Field,R,HOU,MIN,117,142,José Urquidy,Sonny Gray,664353,543243,2,3,MIN,1,5,1,N,1
718685,2023-04-07,2023-04-07T19:05:00Z,Citizens Bank Park,R,CIN,PHI,113,143,Hunter Greene,Zack Wheeler,668881,554430,2,5,PHI,1,7,3,N,1
718688,2023-04-07,2023-04-07T19:05:00Z,Oriole Park at Camden Yards,R,NYY,BAL,147,110,Clarke Schmidt,Dean Kremer,657376,665152,6,7,BAL,1,13,1,N,1
718693,2023-04-07,2023-04-07T17:10:00Z,Citi Field,R,MIA,NYM,146,121,Edward Cabrera,Tylor Megill,665795,656731,3,9,NYM,1,12,6,N,1
718656,2023-04-08,2023-04-09T00:10:00Z,Chase Field,R,LAD,AZ,119,109,Noah Syndergaard,Zach Davies,592789,605200,8,12,AZ,1,20,4,N,1
718657,2023-04-08,2023-04-09T01:07:00Z,Angel Stadium,R,TOR,LAA,141,108,José Berríos,Tyler Anderson,621244,542881,5,9,LAA,1,14,4,N,1
718658,2023-04-08,2023-04-09T00:10:00Z,Coors Field,R,WSH,COL,120,115,Trevor Williams,Austin Gomber,592866,596295,7,6,WSH,0,13,1,N,1
718659,2023-04-08,2023-04-08T23:20:00Z,Truist Park,R,SD,ATL,135,144,Michael Wacha,Charlie Morton,608379,450203,4,1,SD,0,5,3,N,1
718660,2023-04-08,2023-04-08T23:10:00Z,American Family Field,R,STL,MIL,138,158,Jordan Montgomery,Eric Lauer,656756,641778,6,0,STL,0,6,6,N,1
718661,2023-04-08,2023-04-08T20:10:00Z,Citi Field,R,MIA,NYM,146,121,Trevor Rogers,Kodai Senga,669432,673540,2,5,NYM,1,7,3,N,1
718662,2023-04-08,2023-04-08T22:35:00Z,PNC Park,R,CWS,PIT,145,134,Mike Clevinger,Vince Velasquez,605182,592826,11,5,CWS,0,16,6,N,1
718663,2023-04-08,2023-04-08T22:10:00Z,Progressive Field,R,SEA,CLE,136,114,Marco Gonzales,Cal Quantrill,594835,615698,3,2,SEA,0,5,1,N,1
718664,2023-04-08,2023-04-08T23:05:00Z,Oriole Park at Camden Yards,R,NYY,BAL,147,110,Jhony Brito,Cole Irvin,666745,608344,4,1,NYY,0,5,3,N,1
718665,2023-04-08,2023-04-08T20:10:00Z,Tropicana Field,R,OAK,TB,133,139,Shintaro Fujinami,Jeffrey Springs,660261,605488,0,11,TB,1,11,11,N,1
718666,2023-04-08,2023-04-08T18:10:00Z,Target Field,R,HOU,MIN,117,142,Luis Garcia,Joe Ryan,677651,657746,6,9,MIN,1,15,3,N,1
718667,2023-04-08,2023-04-08T20:10:00Z,Comerica Park,R,BOS,DET,111,116,Tanner Houck,Joey Wentz,656557,666214,14,5,BOS,0,19,9,N,1
718668,2023-04-08,2023-04-08T20:05:00Z,Citizens Bank Park,R,CIN,PHI,113,143,Nick Lodolo,Bailey Falter,666157,663559,2,3,PHI,1,5,1,N,1
718669,2023-04-08,2023-04-08T20:05:00Z,Wrigley Field,R,TEX,CHC,140,112,Martín Pérez,Justin Steele,527048,657006,3,10,CHC,1,13,7,N,1
718672,2023-04-08,2023-04-08T20:05:00Z,Oracle Park,R,KC,SF,118,137,Brady Singer,Sean Manaea,663903,640455,6,5,KC,0,11,1,N,1
718639,2023-04-09,2023-04-09T20:10:00Z,Chase Field,R,LAD,AZ,119,109,Michael Grove,Ryne Nelson,675627,669194,6,11,AZ,1,17,5,N,1
718642,2023-04-09,2023-04-09T18:20:00Z,Wrigley Field,R,TEX,CHC,140,112,Jon Gray,Jameson Taillon,592351,592791,8,2,TEX,0,10,6,N,1
718643,2023-04-09,2023-04-09T20:05:00Z,Oracle Park,R,KC,SF,118,137,Kris Bubic,Anthony DeSclafani,663460,543101,1,3,SF,1,4,2,N,1
718644,2023-04-09,2023-04-09T20:07:00Z,Angel Stadium,R,TOR,LAA,141,108,Yusei Kikuchi,Reid Detmers,579328,672282,12,11,TOR,0,23,1,N,1
718645,2023-04-09,2023-04-09T19:10:00Z,Coors Field,R,WSH,COL,120,115,Chad Kuhl,Ryan Feltner,641771,663372,6,7,COL,1,13,1,N,1
718646,2023-04-09,2023-04-09T17:40:00Z,Progressive Field,R,SEA,CLE,136,114,George Kirby,Zach Plesac,669923,668676,6,7,CLE,1,13,1,N,1
718647,2023-04-09,2023-04-09T17:40:00Z,Citi Field,R,MIA,NYM,146,121,Braxton Garrett,Carlos Carrasco,666129,471911,7,2,MIA,0,9,5,N,1
718648,2023-04-09,2023-04-09T23:10:00Z,Truist Park,R,SD,ATL,135,144,Seth Lugo,Dylan Dodd,607625,689266,10,2,SD,0,12,8,N,1
718649,2023-04-09,2023-04-09T18:10:00Z,Target Field,R,HOU,MIN,117,142,Hunter Brown,Tyler Mahle,686613,641816,5,1,HOU,0,6,4,N,1
718650,2023-04-09,2023-04-09T18:10:00Z,American Family Field,R,STL,MIL,138,158,Jake Woodford,Freddy Peralta,663765,642547,1,6,MIL,1,7,5,N,1
718651,2023-04-09,2023-04-09T17:35:00Z,Oriole Park at Camden Yards,R,NYY,BAL,147,110,Nestor Cortes,Tyler Wells,641482,669330,5,3,NYY,0,8,2,N,1
718652,2023-04-09,2023-04-09T17:05:00Z,Citizens Bank Park,R,CIN,PHI,113,143,Connor Overton,Taijuan Walker,656818,592836,6,4,CIN,0,10,2,N,1
718653,2023-04-09,2023-04-09T17:35:00Z,PNC Park,R,CWS,PIT,145,134,Michael Kopech,Johan Oviedo,656629,670912,0,1,PIT,1,1,1,N,1
718654,2023-04-09,2023-04-09T17:10:00Z,Comerica Park,R,BOS,DET,111,116,Kutter Crawford,Matthew Boyd,676710,571510,4,1,BOS,0,5,3,N,1
718655,2023-04-09,2023-04-09T17:10:00Z,Tropicana Field,R,OAK,TB,133,139,James Kaprielian,Drew Rasmussen,621076,656876,0,11,TB,1,11,11,N,1
718627,2023-04-10,2023-04-11T01:40:00Z,Chase Field,R,MIL,AZ,158,109,Wade Miley,Zac Gallen,489119,668678,0,3,AZ,1,3,3,N,1
718628,2023-04-10,2023-04-10T23:40:00Z,Wrigley Field,R,SEA,CHC,136,112,Luis Castillo,Drew Smyly,622491,592767,2,3,CHC,1,5,1,N,1
718629,2023-04-10,2023-04-11T00:40:00Z,Coors Field,R,STL,COL,138,115,Steven Matz,Germán Márquez,571927,608566,4,7,COL,1,11,3,N,1
718630,2023-04-10,2023-04-11T00:05:00Z,Globe Life Field,R,KC,TEX,118,140,Zack Greinke,Andrew Heaney,425844,571760,2,11,TEX,1,13,9,N,1
718631,2023-04-10,2023-04-11T01:38:00Z,Angel Stadium,R,WSH,LAA,120,108,Patrick Corbin,José Suarez,571578,660761,6,4,WSH,0,10,2,N,1
718632,2023-04-10,2023-04-10T22:35:00Z,PNC Park,R,HOU,PIT,117,134,Framber Valdez,Roansy Contreras,664285,672710,8,2,HOU,0,10,6,N,1
718633,2023-04-10,2023-04-10T22:40:00Z,Citizens Bank Park,R,MIA,PHI,146,143,Sandy Alcantara,Matt Strahm,645261,621381,3,15,PHI,1,18,12,N,1
718634,2023-04-10,2023-04-10T23:10:00Z,Citi Field,R,SD,NYM,135,121,Yu Darvish,Max Scherzer,506433,453286,0,5,NYM,1,5,5,N,1
718635,2023-04-10,2023-04-10T22:35:00Z,Oriole Park at Camden Yards,R,OAK,BAL,133,110,JP Sears,Kyle Gibson,676664,502043,1,5,BAL,1,6,4,N,1
718636,2023-04-10,2023-04-10T23:20:00Z,Truist Park,R,CIN,ATL,113,144,Graham Ashcraft,Bryce Elder,668933,693821,4,5,ATL,1,9,1,N,1
718637,2023-04-10,2023-04-10T22:10:00Z,Progressive Field,R,NYY,CLE,147,114,Domingo Germán,Shane Bieber,593334,669456,2,3,CLE,1,5,1,N,1
718638,2023-04-10,2023-04-10T22:40:00Z,Tropicana Field,R,BOS,TB,111,139,Nick Pivetta,Jalen Beeks,601713,656222,0,1,TB,1,1,1,N,1
